Building type	Coordinates (latitude)	Coordinates (longitude)	Number of employees	Number of students/residence	School type
M	40.909854	-73.780348	15		
M	40.908942	-73.791651	15		
M	40.9171	-73.756205	15		
M	40.910853	-73.796551	15		
M	40.902696	-73.789958	15		
M	40.903289	-73.78947	15		
M	40.922843	-73.787735	15		
M	40.92215	-73.787863	15		
M	40.911112	-73.779414	15		
M	40.894659	-73.774209	15		
M	40.88919	-73.784662	15		
M	40.894728	-73.776097	15		
M	40.91569	-73.788865	21		
N	40.926546	-73.784922	15		
N	40.907735	-73.782421	15		
N	40.916288	-73.784648	15		
N	40.985183	-73.776664	15		
N	40.981764	-73.776482	15		
N	40.925815	-73.788899	15		
N	40.921795	-73.788216	15		
N	40.928096	-73.771761	15		
N	40.913332	-73.786126	15		
N	40.910858	-73.779204	15		
N	40.947032	-73.794203	15		
N	40.908434	-73.782782	15		
N	40.946984	-73.794242	15		
N	40.916277	-73.770134	15		
N	40.920547	-73.788365	32		
N	40.906086	-73.78524	15		
N	40.907968	-73.782278	15		
N	40.904971	-73.787698	15		
N	40.94629	-73.79508	15		
N	40.909727	-73.780995	15		
N	40.900354	-73.79382	15		
N	40.917756	-73.776937	15		
S	40.908985	-73.78423	13		
S	40.908608	-73.783338	13		
S	40.917519	-73.786216	13		
S	40.98081	-73.776589	13		
S	40.94675	-73.794459	13		
S	40.923749	-73.787978	13		
S	40.918122	-73.767723	13		
S	40.914411	-73.784093	13		
S	40.902455	-73.79144	13		
S	40.947441	-73.795372	13		
S	40.984501	-73.776905	13		
S	40.926714	-73.789322	13		
S	40.926409	-73.786381	13		
S	40.921938	-73.773674	13		
S	40.945836	-73.795834	13		
T	40.983029	-73.778169	80		
T	40.934848	-73.791491	80		
T	40.899938	-73.790808	80		
Y	40.943599	-73.793034	40		
Z	40.908001	-73.785711	80		
Z	40.934536	-73.791091	80		
Z	40.914562	-73.794574	80		
Z	40.931499	-73.793179	80		
Z	40.972727	-73.777141	80		
L	40.922815	-73.788113	14		
L	40.918178	-73.786366	12		
L	40.915059	-73.772227	12		
L	40.914333	-73.784251	12		
L	40.91289	-73.783185	12		
L	40.907573	-73.782472	12		
L	40.907617	-73.784283	12		
L	40.914585	-73.794633	12		
L	40.910156	-73.789535	11		
L	40.984669	-73.777698	11		
L	40.947515	-73.794306	11		
L	40.946776	-73.7944	11		
L	40.947234	-73.795314	11		
L	40.946634	-73.795411	11		
L	40.985104	-73.776814	11		
L	40.946833	-73.794446	11		
L	40.981234	-73.77654	11		
L	40.980638	-73.776496	11		
L	40.946479	-73.795094	11		
L	40.917509	-73.788672	11		
L	40.921913	-73.788249	11		
L	40.915534	-73.771573	11		
L	40.915404	-73.771647	11		
L	40.914784	-73.772682	11		
L	40.914579	-73.772748	11		
L	40.916675	-73.769736	11		
L	40.915443	-73.785346	11		
L	40.915365	-73.78517	11		
L	40.910254	-73.780902	11		
L	40.909957	-73.78034	11		
L	40.910352	-73.782442	11		
L	40.90889	-73.781824	11		
L	40.908518	-73.782871	11		
L	40.908562	-73.782411	11		
L	40.897071	-73.777792	11		
L	40.89891	-73.777819	11		
L	40.900997	-73.788205	11		
L	40.906139	-73.785501	11		
L	40.906146	-73.777922	11		
L	40.907359	-73.778881	11		
L	40.906392	-73.785068	11		
L	40.906838	-73.781725	11		
L	40.909057	-73.781063	11		
L	40.908215	-73.784511	11		
L	40.908425	-73.783153	11		
L	40.907458	-73.784231	11		
L	40.904763	-73.787995	11		
L	40.909492	-73.794736	11		
L	40.914998	-73.794853	11		
L	40.914684	-73.794703	11		
L	40.914482	-73.793798	11		
L	40.910276	-73.789162	11		
M	40.922738	-73.787759	15		
M	40.917915	-73.767917	15		
M	40.910584	-73.796726	21		
M	40.929144	-73.770532	21		
M	40.920839	-73.787365	21		
M	40.91498	-73.772348	21		
M	40.905465	-73.783184	21		
M	40.918697	-73.788073	21		
M	40.921987	-73.788319	21		
M	40.91436	-73.773398	21		
M	40.914897	-73.784594	21		
M	40.889328	-73.789154	21		
M	40.898859	-73.777898	21		
M	40.90817	-73.782247	21		
M	40.902899	-73.790675	21		
M	40.909377	-73.795563	21		
M	40.909408	-73.793631	21		
M	40.90697	-73.780548	21		
M	40.914797	-73.77257	21		
M	40.98048	-73.776521	20		
M	40.898631	-73.777952	20		
M	40.946623	-73.79529	20		
M	40.906189	-73.789771	20		
M	40.908018	-73.789877	20		
M	40.946623	-73.795163	20		
M	40.906732	-73.779694	20		
V	40.967071	-73.789146	11		
V	40.903952	-73.796923	15		
V	40.915453	-73.788605	16		
V	40.954156	-73.797837	22		
V	40.91881	-73.796635	22		
V	40.917358	-73.791571	22		
V	40.920157	-73.787152	22		
V	40.918203	-73.786448	22		
V	40.929371	-73.76958	22		
V	40.930092	-73.767486	22		
V	40.91994	-73.780755	22		
V	40.918454	-73.77198	22		
V	40.914362	-73.784951	22		
V	40.913834	-73.786496	22		
V	40.909383	-73.780092	22		
V	40.909198	-73.779711	22		
V	40.90736	-73.777976	22		
V	40.906219	-73.785349	22		
V	40.907052	-73.779471	22		
V	40.908742	-73.781369	22		
V	40.907042	-73.785793	22		
V	40.903238	-73.789628	22		
V	40.90949	-73.797519	22		
V	40.916538	-73.790709	22		
V	40.915329	-73.794034	22		
V	40.909903	-73.791768	22		
V	40.911501	-73.78652	22		
V	40.908298	-73.789866	22		
V	40.932086	-73.781262	22		
V	40.927087	-73.794092	22		
V	40.921953	-73.799697	22		
V	40.916816	-73.794505	22		
V	40.91738	-73.789354	22		
V	40.917915	-73.786935	22		
V	40.918526	-73.785585	22		
V	40.917323	-73.785844	22		
V	40.909447	-73.784528	22		
V	40.904844	-73.785097	22		
V	40.905998	-73.783304	22		
V	40.923964	-73.791126	22		
V	40.914065	-73.785989	22		
V	40.972664	-73.775746	22		
V	40.893927	-73.787212	22		
V	40.918306	-73.786416	22		
V	40.943913	-73.795466	22		
V	40.915514	-73.767081	22		
V	40.975174	-73.775434	22		
V	40.972756	-73.774885	22		
V	40.964378	-73.782255	22		
V	40.941282	-73.793826	22		
V	40.905352	-73.776841	22		
V	40.946792	-73.797018	59		
M	40.92974	-73.767253	60		
M	40.927153	-73.770898	60		
M	40.927114	-73.779769	60		
M	40.913781	-73.78984	90		
X	40.920205	-73.785772	90		
X	40.919037	-73.786097	90		
X	40.916433	-73.785819	89		
X	40.913086	-73.779092	89		
X	40.971277	-73.776439	89		
X	40.912647	-73.778758	89		
X	40.898235	-73.786262	89		
X	40.909317	-73.791619	89		
X	40.927065	-73.789458	89		
X	40.91421	-73.768974	89		
X	40.908848	-73.784254	89		
X	40.911683	-73.782878	89		
X	40.922241	-73.787775	89		
X	40.916469	-73.785553	89		
X	40.914866	-73.781969	60		
M	40.903235	-73.791134	220		
M	40.906825	-73.788176	220		
M	40.920184	-73.788155	217		
M	40.930536	-73.767864	215		
M	40.926667	-73.772579	215		
M	40.916993	-73.760896	215		
M	40.902297	-73.792054	215		
M	40.904974	-73.792598	215		
M	40.929165	-73.76755	215		
M	40.909805	-73.795126	215		
M	40.904285	-73.788412	215		
M	40.903928	-73.790147	215		
M	40.907656	-73.789929	215		
M	40.920636	-73.775462	215		
M	40.906372	-73.795368	215		
GG	40.901124	-73.787792	74		
GG	40.905041	-73.78925	74		
GG	40.89855	-73.791584	74		
GG	40.919379	-73.788574	75		
GG	40.928812	-73.771336	75		
GG	40.907351	-73.785638	75		
GG	40.906271	-73.793624	75		
GG	40.919843	-73.788	75		
GG	40.916804	-73.780359	75		
GG	40.908307	-73.786135	75		
GG	40.926614	-73.771954	75		
M	40.914028	-73.776796	75		
M	40.927821	-73.771234	75		
M	40.930024	-73.767637	75		
